更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,従業員数,資本金,平均年齢,企業URL,代表者
2024-07-01,株式会社ミライト・ワン,ゼネコン,7,■事業内容： MIRAIT ONEは、通信インフラをはじめとしたさまざまな社会インフラの構築・維持や、地域の街づくり・里づくり、企業のDX・GXに貢献する事業を行っています。,東京都江東区豊洲5-6-36,2010,プライム市場,3622,"7,000百万円",,https://www.mirait-one.com/,
2024-08-01,飯田グループホールディングス株式会社,住宅（ハウスメーカー）,29,"飯田グループホールディングスは、グループ全体に関わる経営戦略の検討、グループシナジーの創出、グループ各社の経営支援を行っています。2013年111に6社が経営統合してから10年、現在では全48社の企業グループへ拡大し、総勢約13,000名の社員が働いています。住宅の販売だけでなく、建設資材の製造や宅地開発、最新技術の研究開発、グローバル事業など、社員それぞれの役割は多種多様です。",東京都武蔵野市西久保1-2-11,2013,プライム市場,117,"10,000百万円",45.0,https://www.ighd.co.jp/,
2024-08-01,住友不動産株式会社,ディベロッパー,99+,■事業概要オフィスビル・マンション・ハウジング・仲介の4分野を柱とした総合不動産業,東京都新宿区西新宿2-4-1新宿NSビル,1949,プライム市場,12898,"122,805百万円",42.4,http://www.sumitomo-rd.co.jp/,
2024-08-01,ＹＫＫ ＡＰ株式会社,住宅設備・建材,66,■事業概要：「生活空間から都市空間まで、時代に応え、未来を拓くＹＫＫ ＡＰ」…快適な住空間をつくる「窓やドア」、美しい都市景観をつくる「ビルのファサード」など、ＹＫＫ ＡＰはさまざまな建築用プロダクツを通して、これからの時代にふさわしい事業価値を創造しています。,東京都千代田区神田和泉町1YKK80ビル,1957,,17834,"14,000百万円",43.0,http://www.ykkap.co.jp/index.asp,
2024-08-01,日鉄テックスエンジ株式会社,プラントメーカー・プラントエンジニアリング,16,■事業内容：日本製鉄グループの総合エンジニアリング企業として、メンテナンス事業／機械事業／プラントエンジニアリング事業／電計・システム事業／プラント操業事業／製造・販売事業／建築事業／土木事業を行っています。■強み：工場1棟まるまる受注ができる総合力と協業体制。優れた技術・サービスの提供を通じて社会の発展に貢献し、常に顧客に満足される「安全」「品質」「技術」を提供します。また、顧客はもとより広く社会から信頼され、社員が誇りを持てる会社の実現に向けて邁進し、操業・整備・工事のNO.1企業を目指します。,東京都千代田区丸の内2-5-2三菱ビル12F,1946,,12270,"5,470百万円",42.6,http://www.tex.nipponsteel.com/,
2024-07-01,日本管財ホールディングス株式会社,不動産管理,3,■事業内容： ・建物総合管理事業・保安警備事業・県境施設管理事業・マンション管理事業 ・海外事業,東京都中央区日本橋2-1-10柳屋ビルディング4F,2023,プライム市場,10278,"3,000百万円",,https://www.nkanzaihd.co.jp/aboutus/,
2024-08-01,株式会社東急コミュニティー,不動産管理,99+,■事業内容：東急不動産ホールディングスの中核会社として、「マンションライフサポート事業」「ビルマネジメント事業」「リフォーム事業」「環境・シニア関連」4つを軸に事業を推進しています。■詳細：「マンションライフサポート事業」：マンション管理、公営住宅管理運営、生活支援サービス、コミュニティー形成支援「ビルマネジメント事業」：ビル管理、公共施設管理運営、プロパティマネジメント、施設運営、プラネタリウム運営「リフォーム事業」：大規模改修事業、設備改修工事「環境・シニア関連」：省エネ・環境対策、エネルギーサービス、シニア向けライフサポート,東京都世田谷区用賀4-10-1世田谷ビジネススクエアタワー,1970,,10276,"1,653百万円",37.4,http://www.tokyu-com.co.jp/,
2024-08-01,三協立山株式会社,住宅設備・建材,14,■事業内容： 1. ビル用建材・住宅用建材・エクステリア建材の開発・製造・販売。 アルミニウムおよびその他金属の圧延加工品の製造・販売。2. アルミニウムおよびマグネシウムの鋳造・押出・加工ならびにその販売。3. 店舗用汎用陳列什器の販売。 規格看板・その他看板の製造・販売。 店舗および関連設備のメンテナンス。,富山県高岡市早川70,1960,プライム市場,4822,"15,000百万円",,https://www.st-grp.co.jp/,
2024-08-01,株式会社日立ビルシステム,設備管理・メンテナンス,6,■事業内容：（1）エレベーター、エスカレーター、駐車場設備、冷凍空調装置、電気設備、自動ドア、その他ビル設備に必要な機器の製造、販売、据付、保守、改造修理、更新及び設計（2）各種ビル設備の監視・制御並びにビル管理、土木及び建築工事業（3）冷凍空調装置並びにそれらの運転制御盤、遠隔監視装置、冷媒回収装置の製造（4）建築物の設計・監理、不動産賃貸業（5）ビル設備機器、防犯・防災機器、駐車場設備の賃貸及びリース,東京都千代田区神田淡路町2-101ワテラスタワー,1956,,8600,"5,105百万円",41.0,http://www.hbs.co.jp/,
2024-08-01,大和ライフネクスト株式会社,不動産管理,99+,■事業内容：・マンション管理事業、ビルおよび商業施設など管理事業、建設業、警備事業、貨物利用運送事業・コールセンター事業、損害保険および生命保険代理店事業,東京都港区赤坂5-1-33,1983,,8402,130百万円,41.3,http://www.daiwalifenext.co.jp/,
