更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,従業員数,資本金,平均年齢,企業URL,上場市場名,代表者
2024-07-01,アクセンチュア株式会社,総合コンサルティング,35,■事業内容/会社の特徴：「ストラテジー & コンサルティング」「ソング」「テクノロジー」「オペレーションズ」「インダストリーX」の5つの領域で幅広いサービスとソリューションを提供,東京都港区赤坂1-8-1赤坂インターシティAIR,1995,23500,350百万円,,https://www.accenture.com/jp-ja,,
2024-08-01,アビーム コンサルティング株式会社,経営・戦略コンサルティング,99+,■概要：日本発（アジア最大級）のグローバルコンサルティングファームとして継続的な企業価値向上・経営課題解決を目的とした、戦略/経営/業務/ITコンサルティングを行っている独立系総合コンサルティングファームです。幅広い業界・領域に戦略・経営・業務・ITコンサルなど 、あらゆる角度から実践的かつ最適なコンサルティングサービスを提供しています。ABeamのサービスの特長は、戦略立案から施策実行・戦略実現まで、一貫したコンサルティングを行っている点。「戦略」や「経営方針」の立案に留まるのではなく、結果・実現にコミットしたコンサルティングを行っています。,東京都中央区八重洲2-2-1東京ミッドタウン八重洲八重洲セントラルタワー,1981,8278,"6,200百万円",,http://www.abeam.com/jp/,,
2024-06-01,株式会社三菱総合研究所,シンクタンク,3,■事業内容：（1）シンクタンク・コンサルティングサービス（2）ITサービス,東京都千代田区永田町2-10-3,1970,1093,"6,336百万円",42.3,https://www.mri.co.jp/,プライム市場,
2024-08-01,株式会社ベイカレント・コンサルティング,経営・戦略コンサルティング,50,■事業内容：戦略・業務・IT領域でクライアントの事業展開を支援する、国内最大級の総合コンサルティングファームです。■コンサルティング事業の売上比率：戦略コン：業務コン：ITコン＝2：4：4になります。高付加価値化の為、DXやメタバース、サステナビリティ領域にも注力しています■事業の特徴： ワンストップ＆ニュートラル：主に大手上場企業に対してワンストップでサービスを提供。独立系ならではのニュートラルな立場で、「Client Interest First」を追求しています。,東京都港区麻布台1-3-1麻布台ヒルズ森JPタワー,1998,4364,282百万円,32.0,http://www.baycurrent.co.jp/,プライム市場,
2024-08-01,みずほリサーチ＆テクノロジーズ株式会社,シンクタンク,55,2021年4月、「みずほ情報総研」と「みずほ総合研究所」がひとつになり、「みずほリサーチ＆テクノロジーズ」が誕生しました。みずほリサーチ＆テクノロジーズは、リサーチ・コンサルティングの高い専門性と先端ITの融合により、お客さまが真に必要とするあらゆるサービスやソリューションを提供し、<みずほ>が目指す金融の枠を超えた取り組みによる「新たな価値創出」を牽引しています。,東京都千代田区神田錦町2-3,2021,4137,"1,627百万円",,https://www.mizuho-rt.co.jp/,,
2024-08-01,株式会社日本総合研究所,シンクタンク,99+,■企業概要：同社はシステムインテグレーション・コンサルティング・シンクタンクの3つの機能を有する、SMBCグループの中核を担うIT戦略企業です。,東京都品川区東五反田2-18-1,1969,2962,"219,700百万円",40.6,http://www.jri.co.jp/,,
2024-08-01,ＮＥＣビジネスインテリジェンス株式会社,経営・戦略コンサルティング,24,■事業内容：同社は、NECグループの業務改革推進プロジェクトの中心にあって、NECグループ10万人の働き方改革を推進する役割を担っています。NECグループ10万人の業務プロセス見直しの中で磨かれた業務プロセス構築力、システム適用・運用力、そして豊富な専門知識を持つ人材を数多く保有しているといった強みを活かし、お客様の事業成長を支え、新たな事業価値の創造に貢献していきます。,神奈川県川崎市中原区下沼部1753,2014,2641,100百万円,49.0,https://www.nec-businessintelligence.co.jp/,,
2024-08-01,株式会社大和総研,シンクタンク,64,■企業概要：リサーチ・コンサルティング・システムの3部門を擁する、総合シンクタンク。大和証券グループのIT戦略立案・実行や、グループ外の大手事業会社向けにもソリューション展開を実現、社会に対する大きなインパクトを生み続けるプロフェッショナル集団です。,東京都江東区冬木15-6,1989,1857,"3,898百万円",41.2,https://www.dir.co.jp/,,
2024-08-01,三菱ＵＦＪリサーチ＆コンサルティング株式会社,経営・戦略コンサルティング,79,三菱UFJフィナンシャル・グループのシンクタンク・コンサルティングファームとして、東京・名古屋・大阪の３大都市を拠点に、コンサルティング、グローバル経営サポート、政策研究・提言、マクロ経済調査、セミナー等を通じた人材育成支援など、国内外にわたる幅広い事業分野において多様なサービスを展開しております。,東京都港区虎ノ門5-11-2オランダヒルズ森タワー,1985,1400,"2,060百万円",,http://www.murc.jp/,,
2024-08-01,株式会社電通デジタル,マーケティング・リサーチ,81,"■概要：同社は2016年7月1日に電通本社内組織である「デジタルマーケティングセンター」、顧客企業の""デジタル時代の新しい売り方""のプランニングとビジネスモデルの構築を支援してきた「株式会社電通イーマーケティングワン」、デジタルパフォーマンスマーケティング領域を中心に顧客企業の事業拡大を支援してきた「株式会社ネクステッジ電通」が合流した電通グループのデジタルマーケティング専門の新会社です。「コンサルティング」「開発・実装」「運用・実行支援」の統合ソリューションを提供することで、他に類を見ないデジタルマーケティングのリーディングカンパニーになることを目指します。",東京都港区東新橋1-8-1,2016,2200,"4,400百万円",32.0,https://www.dentsudigital.co.jp/,,
