更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-07-01,株式会社レスコ,ベンダ（ハードウェア・ソフトウェア）,4,■企業概要：導入実績国内No.1の精神科診療支援システムを提供する、社会インフラを代表するIT企業の一つです。全国で約5割という圧倒的なシェアを誇っております。メーカーという基盤を持ちつつ、精神障害者ケアにおける「総合ソリューションプロバイダ」という事業に挑戦中です。,広島県広島市中区上幟町5-151F,1993,42.0,80,50百万円,http://www.rescho.co.jp/,,
2024-07-01,ベネックスソリューションズ株式会社,ITコンサルティング,5,■事業詳細：・音響・映像・情報機器の販売、施工。 システムソリューション（各種センサーを使ったソリューションの相談・導入等） プロ音響・映像システム（業務用映像・音響システムの企画・設計・施工・管理・メンテナンス） コミュニケーションシステム（オフィス情報通信システムの企画・施工・管理・メンテナンス） ICTソリューション（各種ICTシステムの企画・設計・施工・管理・メンテナンス）,福岡県福岡市博多区榎田2-1-18,1971,45.0,63,20百万円,https://benexsolutions.co.jp/,,
2024-08-01,システム・リサーチ株式会社,ベンダ（ハードウェア・ソフトウェア）,2,■事業内容：ソフトウェアの受託開発およびコンピュータ関連機器の販売■事業の特徴：(1) 建設コンサルタント向け開発業務地図情報システム（ＧＩＳ）を利用した、自治体向け業務用ソフトウェア開発ｅｘ．建築確認システム、固定資産管理システム、広告景観づくりシステム、道路占用システム、道路台帳システム 等(2) ソフトウェア開発業者向け開発業務経営情報システム開発業務ｅｘ．財務会計システム、販売管理システム、営業支援システム、生産管理システム 等,岡山県岡山市北区北長瀬表町3-17-30,1986,,20,15百万円,https://www.sys-srs.co.jp/,,
2024-06-01,アプロ通信株式会社,システムインテグレータ（SIer）,1,＜企業概要＞～創業1970年、50年以上の永きに亘り、最先端テクノロジーと高度なシステム構築力で「お客様の最適をサポートする適正技術」をご提供し、地域に、社会に貢献できる質の高い技術とサービスの強化を追求しています。～地域に密着した生活インフラを主業務とし、岐阜県を中心に東海エリアにてトップクラスの実績と知名度を誇っています。提案から設計・販売・施工管理・保守点検・修理に至るまでのトータルサポートが出来る東海エリア随一の総合設備工事企業です。,岐阜県岐阜市茜部菱野4-134,1971,41.6,116,20百万円,https://www.appro.ne.jp/,,
2024-07-01,エム・ワイ・エス株式会社,ベンダ（ハードウェア・ソフトウェア）,2,■事業内容：・コンピュータおよび通信機器その他電子機器から構成されるソフトウエアシステムの製造、販売・上記に付帯する一切のサービス,北海道札幌市厚別区下野幌テクノパーク1-2-6,1994,,7,10百万円,http://www.myscom.co.jp/,,
2024-08-01,北都システム株式会社,システムインテグレータ（SIer）,12,システム開発事業 自動車、組込み、医療、社会公共など様々な分野のシステム開発 2～5名程度のチームで取り組む開発ケースや、大手ベンダーの一員として設計・開発・製造などに携わるケースもあります ◆自動車関連…メーカー各社ECUや機能安全システムの開発、ドライブレコーダー/デジタルタコグラフ開発、カーナビゲーションシステム開発 ◆IoT関連…無線通信技術、センサネットワーク技術、RFIDソリューションを活用した開発,北海道札幌市厚別区厚別中央2条3-5-11,1994,37.6,223,70百万円,https://www.hscnet.co.jp,,
2024-06-01,株式会社マルトウコンパック,システムインテグレータ（SIer）,1,■会社設立の経緯：LPガス（プロパンガス）の販売会社を行っていた株式会社マルトウから分社独立し、1979年に設立。LPガスの販社向けの管理システム「コンパック80」を開発・販売を行ったところから始まりました。先代社長はシステム開発が得意な方であり自社のLPガス販売管理のノウハウをシステム化することに成功しました。,岐阜県岐阜市金町2-11,1981,39.0,38,26百万円,http://www.mc-net.co.jp,,
2024-06-01,株式会社アストロ,ITコンサルティング,4,■事業内容：・情報システムの開発、導入、運用に関するコンサルティング・コンピュータソフトウェアの設計、開発・ソフトウェアパッケージの開発及び販売・トナーリサイクル・iOSアプリ開発,岡山県岡山市中区さい155-5,1993,39.4,34,15百万円,http://astroinc.co.jp/,,
2024-05-01,日新火災情報システム株式会社,ベンダ（ハードウェア・ソフトウェア）,1,■事業内容：損害保険業務支援システムの開発・保守および運用全般NISKの業務には大きくわけて、損害保険の基幹業務を支える【ホスト系開発部門】、お客さまや代理店のニーズを実現する【オープン系開発部門】、効率の良い安定したシステムの稼動を提供する【運用部門】の3つの部門があります。この3部門が一体となってシステム開発を行なっています。,埼玉県さいたま市浦和区上木崎2-7-5日新火災さいたま本社,1988,,188,20百万円,http://www.nisshin-info.co.jp/,,
2024-08-01,株式会社エヌディエス,通信キャリア・ISP・データセンター,11,■事業内容：・インターネット接続サービス・ネットコンテンツの企画、制作、販売、運営・法人向けITソリューションおよびコンサルティング・再生可能エネルギー事業における設備構築、運営,岡山県岡山市南区福浜町1-26,1997,45.0,77,80百万円,https://www.tiki.ne.jp/,,
2024-07-01,株式会社有明ねっとこむ,システムインテグレータ（SIer）,3,■事業内容： ◆ICTソリューションサービス◆ICTサポートサービス◆ICTインフラ提供サービス◆FM放送（FMたんとの運営）,福岡県大牟田市不知火町1-3-10,1987,,37,100百万円,https://www.ariakeinfo.ne.jp/,,
2024-07-01,東都システムズ株式会社,ベンダ（ハードウェア・ソフトウェア）,2,■事業内容：（1）ビジネス・ソリューションシステム開発…Web系システムやオープンシステムのビジネスアプリケーション（システム）の受託開発を中心に、コンサルティングから運用支援まで一環したサービスを提供（2）インターネット・イントラネットソリューションの開発（3）パッケージソフトウエアの開発,岡山県岡山市北区中山下1-9-40新岡山ビル7F,1971,35.7,91,16百万円,http://touto-systems.com/index_top.htm,,
2024-06-01,システムプロダクト株式会社,システムインテグレータ（SIer）,2,■事業内容： ・ITシステム導入支援・業務分析・アプリケーションソフトシステム開発・OA機器導入支援及び販売※開発業務：生産管理／運輸・倉庫／流通 他,岡山県岡山市北区表町1-3-50,1983,,25,20百万円,https://www.sysproduct.com/,,
2024-08-01,株式会社ネットデータ,ベンダ（ハードウェア・ソフトウェア）,1,"■業務内容：各種コンピュータの販売業務,導入コンサルタント業務,ソフトウェア開発業務,操作指導業務,保守業務／情報処理サービス業務,情報提供サービス業務／インターネットマンション施行・管理業務／内装工事業務、清掃業務／前各号に付帯する一切の事業",岡山県岡山市北区辰巳2-108,1999,,,,https://www.netdata.co.jp/,,
2024-07-01,株式会社なうデータ研究所,システムインテグレータ（SIer）,1,■事業内容： 九州工業大学情報工学部の研究で開発されたルールベース技術を活かしたシステム開発を行なっています。ルールベースシステムは人工知能応用プログラムやエキスパート・システムを構築する手法の1つです。知識やノウハウ部分（業務ルール）と実際に人が動かす部分（業務プロセス）を別にすることで、最小限の時間・コストでシステムの構築・改善ができます。現在、大手企業や医療機関、大学など様々な場所での導入実績があります。,福岡県飯塚市川津680-41福岡県立飯塚研究開発センター,1996,,23,,https://www.nau.co.jp/,,
2024-06-01,株式会社シンク,システムインテグレータ（SIer）,1,■事業内容：地方自治体の税金や各種料金を管理する自社開発ソフトウェアである滞納整理システム「THINK CreMaS」を、全国の市区町村に向け、販売・導入しています。また生活困窮者に対する生活改善提案を行う「生活改善コンサルティングサービス」も手掛けております。,福岡県福岡市博多区博多駅前2-19-24大博センタービル5F,1985,39.0,105,30百万円,https://www.thinktax.jp,,
2024-08-01,株式会社エムデジ,通信キャリア・ISP・データセンター,28,【事業内容】モバイルショップの運営∟取り扱いブランド：ドコモ、au、ソフトバンク、UQモバイル、ワイモバイルエニタイムフィットネスの運営ビジネスソリューション事業ゴルフパートナーの運営オンラインショップの運営ソーラー発電事業,北海道小樽市新光1-11-1パシオズ朝里ビル,1998,28.8,491,95百万円,https://www.m-digi.co.jp/,,
2024-08-01,株式会社ソフィア,ベンダ（ハードウェア・ソフトウェア）,4,■事業内容： ・ソフトウェア開発 ・システムエンジニア派遣事業 ・システム開発コンサルティング ・セールスフォース・ドットコム社コンサルティングパートナー ・保険代理店業務,岡山県津山市河原町29-3,1985,,206,99百万円,http://www.sophia-inc.co.jp/,,
2024-07-01,日笠商事株式会社,ベンダ（ハードウェア・ソフトウェア）,1,当社は、複合機、IT関連商品、事務用品、各業種に特化したシステム構築等、幅広い商品をラインナップしております。岡山県北地域を中心に富士フイルムイノベーション(株)（旧富士ゼロックス）の複合機を主軸として、お客様の快適なオフィスワークを支援する為に様々な情報を管理する事務用品・機器・家具・ネットワーク、セキュリティ、クラウドサービスなど様々なオフィスに最適なシステムを提案させて頂いています。,岡山県津山市戸島634-12,1949,,34,15百万円,http://www.hikasa.co.jp/,,
