更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,代表者,従業員数,資本金,平均年齢,企業URL,上場市場名
2024-07-01,株式会社公文教育研究会,学習塾・予備校・専門学校,1,■国内フランチャイズ教室への指導、運営、普及に関するコンサルティングおよびサポート業務■指導者となる人材の募集および開設サポート業務■算数・数学、英語、国語、フランス語、ドイツ語、日本語、書写などのプログラム教材の研究開発、制作、指導法の研究、教室の設置、運営管理■児童書、絵本などの出版、教具、知育玩具など教育関連商品の開発・販売 など拠点：国内48カ所、海外67カ所（2023年12月）,大阪府大阪市淀川区西中島5丁目6番6号 公文教育会館,1962,代表取締役 田中 三教,3734,"44億1,800万円（2023年3月決算）",,http://www.kumon.ne.jp/inst/index.html,
2024-08-01,株式会社 ベネッセコーポレーション,その他・各種スクール,48,＜ベネッセコーポレーションについて＞■概要：ベネッセグループで『教育・生活』領域を担う中核事業会社です。幼児を対象にした『こどもちゃれんじ』、小学生から高校生までを対象にした『進研ゼミ』等のサービスを展開し、年齢や成長レベルに合わせた「学び」の機会を提供しています。,岡山県岡山市北区南方3-7-17,1955,,,"3,000百万円",,http://www.benesse.co.jp/,
2024-08-01,株式会社スプリックス,学習塾・予備校・専門学校,24,●個別指導事業部『森塾』森塾は「成績を上げることで生徒の人生に貢献する」という指導理念のもと、「先生1人に生徒2人まで」の形態で97年に創業された学習塾です。個別指導では珍しく「運営のホスピタリティーや便利さ」よりも「とことん成績を上げる」という想いと「指導のシステム化」にこだわり続け、日本で初めて学校成績で「1科目＋20点保証」の教務力を実現。お客様からの「ありがとうございます」の声を励みに急成長し、新潟から首都圏へ展開（創業からの成長率で業界トップクラス）、そして現在では生徒数４万人を超え、1教室当たりの生徒数でも「日本最大規模」の個別指導専門塾になりました。,新潟県長岡市東坂之上町2-2-1,1997,,531,"1,415百万円",29.7,https://sprix.inc/,スタンダード市場
2024-07-01,アートチャイルドケア株式会社,その他・各種スクール,1,■認可保育所の運営【認可保育所】首都圏（東京・神奈川・埼玉・千葉）・大阪・兵庫・奈良・岡山・愛知・北海道・宮城・福岡・山形でのアートチャイルドケア園■企業内及び病院内保育施設の運営受託企業様・病院様との委託契約により運営（それぞれの契約により、運営時間等異なります）■児童発達支援事業 アートチャイルドケアSEDスクールの運営,東京都品川区東品川1-3-10 アート引越センター東京オフィス3F,1989,代表取締役社長 村田 省三,,5000万円,,https://www.the0123child.com/,
2024-08-01,株式会社ＫｉｄｓＳｍｉｌｅＰｒｏｊｅｃｔ,その他・各種スクール,14,【事業内容】保育事業、幼児教育教材開発等,東京都品川区西五反田1-3-8,2008,,1622,27百万円,,http://www.kidsgarden.co.jp/,
2024-08-01,株式会社テノ．コーポレーション,その他・各種スクール,2,【事業内容】 認可保育所運営、認証保育所運営、小規模保育所運営、事業所内保育所の受託運営、学童保育所の受託運営、わいわい広場の受諾運営、保育士人材紹介・派遣、ベビーシッターサービス、ハウスサービス、教育事業等,福岡県福岡市博多区上呉服町10-10呉服町ビジネスセンター5F,1999,,1126,90百万円,36.0,http://www.teno.co.jp/,
2024-08-01,ヒューマンアカデミー株式会社,学習塾・予備校・専門学校,10,■ 事業内容：JASDAQ上場企業であるヒューマンホールディングス株式会社の100％子会社である同社は、教育機関と企業、地方自治体などの間をつなぐ実践教育を実現する「産官学協同」、学ぶ感動を社会に広める「教育ルネッサンス」、世界で活躍できる人材を育てる「国際人教育」を教育理念として、業界最先端の教育を提供しています。,東京都新宿区西新宿7-5-25西新宿プライムスクエアビル1F,2010,,724,10百万円,,https://manabu.athuman.com/,
2024-08-01,株式会社成学社,その他・各種スクール,16,■事業内容：大学進学までの小中高一貫教育を基本とする学習塾 ◎個別指導：「フリーステップ」他 約250教室、◎クラス指導：「開成教育セミナー」他 約80教室当社は、乳幼児から社会人までの教育および保育を基本とする教育企業として、「個別指導部門」、「クラス指導部門」、「保育部門」及び「その他の指導部門」に分けて学習指導等を行い、大阪府を中心とした近畿圏、東京都、埼玉県及び海外にて学習塾等を展開しております。（1）学習塾の経営…大学進学までの小中高一貫教育を基本とする学習塾 （2）教育に関するコンサルタント業 （3）FC事業 （4）保育事業 （5）日本語学校事業,大阪府大阪市北区中崎西3-1-2,1987,,706,235百万円,39.7,http://www.kaisei-group.co.jp/corporate/,スタンダード市場
2024-06-01,株式会社HOPPA　【京進グループ／東証二部上場】,その他・各種スクール,2,■事業内容：プレミアム（認可外保育園）、認可保育園、小規模認可保育園、その他特別なHOPPA園（学童保育園、横浜市認定横浜保育室・東京都認証保育所）の運営,京都府京都市下京区烏丸通五条下る大坂町382-1,2011,,475,60百万円,,https://hoppa.jp/,
2024-07-01,株式会社アップ,学習塾・予備校・専門学校,14,■事業概要：兵庫県西宮市を中心に幼児から社会人までを対象とした幅広い「生涯教育」サービスを提供しています。（1）学習塾・予備校部門（2）新規事業部門（3）教材、指導ツールの開発及び作成,兵庫県西宮市高松町4-8,1977,,434,100百万円,40.0,https://up-edu.com/,
2024-08-01,株式会社Ｚ会,学習塾・予備校・専門学校,16,～幼児から社会人まで、自前の通信教育、教室、出版、映像・ICT、アセスメントの５事業で「最高の教育」をお届けしています～■企業概要：大学受験を目指す受験生のための英語の通信添削指導からはじまったＺ会の通信教育サービスも、時代の変化に合わせ変わる顧客のニーズに応える中で、幼児から社会人向けコースまで広がり、下記５事業を幅広く手がけております。（１）通信事業（２）出版事業（３）教室事業（４）映像・ICT事業（５）アセスメント事業,静岡県三島市文教町1-9-11,1931,,650,100百万円,41.0,http://www.zkai.co.jp/,
2024-08-01,株式会社早稲田学習研究会,学習塾・予備校・専門学校,9,■事業内容：小・中学生、高校生対象の学習指導および受験指導◎集団授業の大型学習塾「Ｗ早稲田ゼミ」の運営 ◎個別指導教室「ファースト個別」の運営◎オリジナル学習教材の企画・制作 ◎ワセダ授業動画「WOVIE」の制作・配信,東京都中央区京橋1-6-11カンケン京橋ビル7F,1993,,383,183百万円,,http://www.wasedazemi.com/,スタンダード市場
2024-08-01,株式会社イトマンスイミングスクール,その他・各種スクール,2,"■事業内容： ・スイミングスクールの経営（営校33校／内強化校2校、提携校18校／内受託校2校）・フィットネスクラブの経営（直営8事業所）・ゴルフ練習場（1事業所）■売り上げ（直近3年）：2023年3月期：7,064百万円 2022年3月期：6,612百万円 2021年3月期：5,649百万円",東京都新宿区西新宿1-6-10ナガセ西新宿ビル1F,1972,,300,436百万円,,https://www.itoman.com/,
2024-07-01,株式会社スクールＴＯＭＡＳ,学習塾・予備校・専門学校,1,■学校内個別学習支援システム「スクールTOMAS」の企画・運営【リソー教育グループ】(株)リソー教育、(株)スクールTOMAS、(株)伸芽会、(株)名門会、(株)プラスワン教育、(株)リソーウェルフェア、(株)駿台TOMAS、(株)ココカラTチャーズ,東京都豊島区目白3-4-14 田中ビル3F,2000,代表取締役社長 上田 真也,230,1000万円,37.3,https://www.school-t.co.jp/,
2024-08-01,ビズメイツ株式会社,学習塾・予備校・専門学校,21,■当社についてビズメイツは、もっと多くのビジネスパーソンが世界で活躍するために、人と企業が成長しあう多様性のある豊かな社会の実現を目指しています。,東京都千代田区神田須田町1-7-9VORT秋葉原maxim10F,2012,,180,124百万円,35.0,http://www.bizmates.jp/,グロース市場
2024-06-01,株式会社ケーズデンキテクニカルサポート,その他・各種スクール,1,■ケーズデンキ店舗内でのサポートカウンター運営■パソコンおよび周辺機器、インターネット等の訪問設定サポート■パソコン教室「ひよこパソコン教室」の運営 など,茨城県水戸市城南2丁目7番5号,1997,代表取締役社長 鈴木 一義,407,"1,300万円",,https://technicalarts.co.jp/,
2024-08-01,株式会社プログリット,学習塾・予備校・専門学校,18,【事業内容】■個人向け英語学習のコーチングサービス ■法人向け英語学習研修プログラムの提供■サブスクリプション型英語学習サービス,東京都千代田区有楽町2-10-1東京交通会館ビル5F,2016,,175,250百万円,30.0,https://www.progrit.co.jp/,グロース市場
2024-08-01,株式会社 バンタン,学習塾・予備校・専門学校,23,【事業内容】ファッション、ヘアメイク、ビューティ、グラフィックデザイン、映画映像、フォト、ゲーム、アニメ、マンガ、サウンド、パティシエ、カフェ、フードコーディネーター、IT、プログラミング、エンターテインメント領域のクリエイター、インフルエンサー、プロデューサー等を育成するスクール運営事業、卒業生の支援事業等,東京都中央区銀座4-12-15歌舞伎座タワー13F,1965,,300,90百万円,31.9,http://www.vantan.jp/,
2024-07-01,株式会社ヒューマレッジ,学習塾・予備校・専門学校,9,■少子化の中、10％以上の生徒増加率を7年連続で達成！（業界平均約3％）木村塾ならではの教育方針で業績安定です。同社は小・中・高生を対象とした下記の学習塾を兵庫県尼崎市・伊丹市・西宮市を中心に34ヶ所展開しています。創業から30年を超える無借金経営の学習塾です。（1）木村塾…小・中学生の指導（小4～中3生）／ジュニアコースの運営（小1～小3生）（2）東進衛星予備校…東進衛星予備校の運営（高1～高3生）（3）SEED…国私立中学受験の指導（小4～小6生）（4）Harvest…個別指導塾の運営（小1～高3生）,大阪府大阪市北区曽根崎2-12-7清和梅田ビル11F,1986,,930,10百万円,32.1,https://www.kimurajuku.co.jp/,
2024-07-01,株式会社名門会,学習塾・予備校・専門学校,7,■事業概要：プロ家庭教師センター「名門会」と進学個別指導塾「TOMEIKAI」の運営,東京都豊島区目白1-4-25,2003,,276,10百万円,,https://www.meimonkai.co.jp/,
