更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,平均年齢,従業員数,資本金,企業URL,代表者,上場市場名
2024-05-01,株式会社Ｋｕｏｒｅ,コールセンター,1,■事業特徴：・コールセンター事業...お客様に寄り添ったサービスを第一に考え「感動体験」をお届けしています。1つ1つのコミュニケーションを丁寧に作り上げ、クライアント企業様の顔として業務を行っています。・webサイト制作事業...大手企業のブランディングから先進的サービスの共同開発まで、クライアントニーズからの企画・提案・運用までをワンストップでご提供します。,沖縄県千代田区九段南4-7-22メゾンドシャルー2F,2018,25.0,20,3百万円,https://www.kuore.co.jp/,,
2024-08-01,株式会社くれない,技術系アウトソーシング（特定技術者派遣）,1,遊技機メーカー内での製造業務請負業遊技機メーカー内での釘点検請負業その他業種の業務請負業求人メディアの運営労働者派遣事業＜許認可＞労働者派遣事業 許可番号／派23-303834有料職業紹介事業 許可番号／23-ﾕ-302483,愛知県稲沢市正明寺1丁目3-13メゾンエイム205,2018,43.0,50,1000万円,https://p-kurenai.com,代表取締役社長 玉井 禄久,
2024-08-01,株式会社コトブック,人材紹介・職業紹介,3,【事業内容】弊社は2018年7月に創業した、領域特化型の採用支援企業です。「働くことを面白がる人を増やす」を企業パーパス（事業目的）とし、３領域（※下記記載）における採用コンサルティング・人材紹介・大学支援の事業を展開しています。これまでの採用コンサルティングの実績やクライアント企業との強い関係性を活かしながら、より多くの教育系法人を支援させて頂くことで教育業界の発展に寄与していくことを目指しています。民間教育事業会社（学習塾やed-tech企業）や大学など、教育業界×採用支援の領域でより事業領域を尖らせながら拡大を目指していくために、新たに事業を推進して頂ける方を求めています。,東京都港区高輪2-13-1,2017,,8,5百万円,https://cotobook.jp/,,
2024-07-01,株式会社ドラ侍,人材紹介・職業紹介,1,■事業内容：2018年8月創業。東京にて人材紹介業を運営している代表が、就労人口不足という社会問題を解決したいという思いから立ち上げた企業です。ドラ侍では、現在、ドライバー職を中心としたキャリア事業を展開しています。その中心となるのが、九州最大、全国でも有数のドライバー専門求人サイト「ドラ侍」。業界誌にも取り上げられ、全国から求人を掲載したいという声が集まっています。少子高齢化が進む中で逼迫するドライバー業界を福岡から変えていきませんか？,福岡県福岡市南区大橋2-1-1大橋花村ビル5F,2018,,,47百万円,https://corp.dora-zamurai.com/,,
2024-08-01,株式会社リコモス,人材紹介・職業紹介,5,～「社会にある障がいを解決し、誰もが自己実現できる世界を創造する」障がい者の就職・転職支援を行う企業～■事業内容：障がい者支援に関する人材紹介業、障がい者総合支援法に基づく相談支援事業、障がい者及び就職困難者に対するコンサルティング業務、人材採用・人事業務に係るシステムおよびアプリケーションの企画・開発、各種メディアの企画・制作、人材採用に関する適性検査の企画・開発・実施、就労移行支援事業所の運営、前各号に附帯又は関連する一切の事業,東京都中央区京橋2-7-14,2018,,7,5百万円,https://recommos.co.jp/,,
2024-07-01,株式会社シガール,アウトソーシング,1,■国内企業の広報支援、プロモーション活動サポート■国内外企業の会議・セミナーのコンベンション企画、運営■各種イベント、展示会、セミナーの 企画、立案、制作、運営及び管理■個人向けのイベントプランナー業務■通訳、翻訳のコーディネート及び手配■ＭＩＣＥ及び公共施設管理に関する事業の受託■企業の各種コンサルタント業務,神奈川県横浜市神奈川区鶴屋町3-28-6 カーサブランカビル5F「504」,2018,,5,,Error accessing https://doda.jp/DodaFront/View/JobSearchDetail/j_jid__3010760949/: 'NoneType' object has no attribute 'get',代表取締役 出口 聖,
2024-07-01,株式会社ドライブトライブ,人材派遣,1,■ドライバー派遣事業 ■物流人材派遣事業 ■採用支援事業■物流アウトソーシング事業 ■軽貨物運送事業,東京都新宿区西新宿7-15-1 アパライトビル6F,2018,28.0,,3500万円,https://drivetribe.co.jp/,代表取締役 鷹野 雄太,
2024-08-01,シェアフル株式会社,人材紹介・職業紹介,57,■事業内容： オンデマンドマッチングプラットフォームの提供、人材紹介サービス、給与計算などの労務アウトソーシング事業■企業概要： シェアフルではオフィスワークをはじめとして、軽作業、コンビニ、飲食、デリバリーなど幅広いお仕事があります。アプリをインストールすると、付近の仕事か、様々な検索で好きな案件に応募することができるようになります。,東京都港区南青山1-15-5パーソル南青山ビル4F,2019,33.0,376,100百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,BABYJOB株式会社,人材紹介・職業紹介,1,■事業内容：保育所おむつ定額サービス「手ぶら登園」、保護者の保育園探しを応援「えんさがそっ♪」の運営■事業の特徴：「すべての人が子育てを楽しいと思える社会」をビジョンに私たちは、子育てにおける古い常識や慣習にとらわれず、あるべき姿に近づく努力をし続けます。その時々の課題を解決し、このことに関わるすべての人々が子育てを楽しいと思える社会の実現に尽力していきます。,大阪府大阪市淀川区西中島6-7-8,2018,,73,100百万円,http://baby-job.co.jp/,,
2024-08-01,株式会社ＣＲＯＳＳＲＯＡＤ,人材紹介・職業紹介,1,■人材サービス事業■ライフサポート事業■マーケティングリサーチ事業■BPO事業,東京都渋谷区本町3-49-16 西新宿アイコービル4F,2018,27.0,,200万円,https://www.cross-r.info/,代表取締役 上野 学,
2024-08-01,株式会社よきあす,人材紹介・職業紹介,1,■事業内容：・人事コンサルティング事業（採用、育成、評価、報酬）・人材紹介事業・事業コンサルティング事業（一部業種のみ）・IPO支援事業,東京都新宿区西新宿6-6-3新宿国際ビルディング新館5F,2018,,10,5百万円,https://www.yokius.co.jp/,,
2024-07-01,Ｔｅｌｅｐｅｒｆｏｒｍａｎｃｅ　Ｊａｐａｎ株式会社,コールセンター,1,コールセンター事業,東京都港区六本木1丁目4-5 アークヒルズ サウスタワー7F,2018,,,,https://www.teleperformance.com/en-us/locations/japan-site/japan/,代表取締役 金 宰賢,
2024-08-01,株式会社ＮＥＸＥＲＡ,研修サービス,8,■事業内容：・研修事業・ボードゲーム受託開発事業,大阪府大阪市西区江戸堀1-19-23NAGASAKIビル206,2018,,,9百万円,https://corp.nexera.jp/,,
2024-08-01,ＩｎｔｅｒＲａｃｅ株式会社,人材紹介・職業紹介,9,"【最適人材の充足により、企業の事業成長を支える】当社は、2024年3月1日に株式会社ビズリーチ等を運営するVisionalグループの一員となりました。即戦力人材に特化した人材プラットフォームを累計27,500社以上の企業に提供しているビズリーチと手を組むことで、より多くの企業の採用プロセスの高度化を支援し、採用のプロフェッショナルの活躍の場を広げていきます。",東京都渋谷区東2-23-3タゴシンビル2F,2018,,16,,https://inter-race.co.jp/,,
2024-07-01,アドバンスジャパン株式会社,人材紹介・職業紹介,1,◆労働者派遣事業及び有料職業紹介事業◆携帯ショップの代理店運営及びコンサルティング業務◆セールスプロモーション事業◆イベントの企画及び事務局運営◆不動産事業◆飲食店の経営及びコンサルティング業務◆就職支援◆個人事業主の育成及び教育◆古物営業法に基づく古物商 など一般労働者派遣事業許可番号 （派）13-315309有料職業紹介事業許可番号 13-ユ-312972,【本社】東京都千代田区神田須田町2-9-2 PMO神田岩本町10階,2018,25.0,152,3000万円,https://advance-jp.co.jp/,代表取締役社長 須貝 浩紀,
2024-05-01,株式会社ホットスタッフ新宮,人材派遣,1,■事業内容：労働者派遣事業、有料職業紹介事業＜管轄エリア＞新宮町・篠栗町・久山町・古賀市・福岡市東区,福岡県糟屋郡新宮町三代西1-1-7,,,,,なし,,
2024-08-01,株式会社ＢＯＸ,人材紹介・職業紹介,8,■事業内容： ・人材紹介事業／転職エージェント事業・HRイネーブルメント事業（採用コンサル／RPO）,東京都渋谷区桜丘町9-8KN渋谷3ビル2F,2018,,57,5百万円,https://box-hr.co.jp/,,
2024-07-01,センジョーンズ株式会社,人材紹介・職業紹介,2,■事業内容： 人材紹介事業、人材派遣事業、業務委託事業,埼玉県さいたま市浦和区高砂2-6-31st Center Bdg 4-1,2018,,4,5百万円,https://www.kvcp.jp/,,
2024-07-01,株式会社ＧＮＮキャリア,人材紹介・職業紹介,2,■事業内容：１. 人材紹介業務 a) エグゼクティブサーチ b) グローバル人材採用支援／グローバル進出日系企業・外資系企業採用支援（中国、カンボジア、バングラディッシュ、ベトナム） c) 技術系人材/ITコンサルタント（ソフトウェア・ハードウェア/製造） ２．人事コンサルティング・各種研修,東京都渋谷区笹塚1-30-3ビラージュ笹塚Ⅲ6F,2018,46.0,6,5百万円,https://www.gnn-group.jp/,,
2024-06-01,Ｇｒｏｗ　Ｃｏｍｍｕｎｉｔｙ株式会社,アウトソーシング,2,■事業内容： ・ITエンジニア・業務委託（SES）事業・人材派遣事業（外国人派遣／営業員／通信キャリア 等）,愛知県名古屋市中区丸の内1-10-19サンエイビル 6F,2018,,,20百万円,https://grow-community.net/,,
2024-08-01,ＪＨＲ株式会社,人材紹介・職業紹介,8,【人材紹介業】■新卒採用支援 JHR「新卒」意欲の高い学生をリファラルや自社LPなど独自集客によりご紹介させていただきます。丁寧なカウンセリングと選考前クロージングを徹底して行いますので、高い内定承諾率を誇っています。■キャリア採用支援 JHR「第二新卒」既卒や第二新卒、20代前半の中途転職者など若年層を対象とした中途採用支援サービスを展開しております。ポテンシャルが高く優秀な人材をご紹介しており、入社後の定着にも定評があります。,東京都港区六本木4-8-5和幸ビル6F,2018,28.0,50,6百万円,http://j-h-r.com/,,
2024-08-01,株式会社ＨＩＴ,SP代理店（イベント・販促提案など）,無,・セールスプロモーション事業・営業支援事業・採用コンサルティング事業・就活支援事業・人材派遣事業・人材紹介事業・eスポーツ事業・SES事業労働者派遣事業許可 許可番号 派27-304782有料職業紹介事業許可 許可番号 27-ュ-303416 2024年6月doda掲載求人より引用,大阪府大阪市住之江区御崎6-14-19,2019,,,5 百万円,"Failed to retrieve page, status code: 410",代表取締役 伊藤 裕幸,
2024-08-01,パーソルイノベーション株式会社,研修サービス,15,MISSION：新手法、新領域で、未来をぬりかえる。■1973年に創業した大手総合人材企業であるパーソルホールディングスの（資本金：174億円、売上高：約1兆円、 国内人材業界 第2位 ）のグループ企業です。■2030年に向けたパーソルグループ重点戦略の1つである、＜テクノロジーを最大限に活用し、新規事業を創出する＞というミッションを推進すべくHR領域における次世代のイノベーション事業開発を担うため2019年4月に誕生し、これまで様々な新規事業を連続的に生み出しています。,東京都港区北青山2-9-5スタジアムプレイス青山6F,2019,,,,https://persol-innovation.co.jp/,,
2024-06-01,株式会社１３１,技術系アウトソーシング（特定技術者派遣）,1,・労働者派遣事業（施工管理・ITエンジニア・スポーツトレーナー・コールセンターetc）・有料職業紹介事業・不動産の売買、賃貸借、管理及び斡旋労働者派遣事業＜派 01-301322＞有料職業紹介事業＜01-ユ-300530＞宅地建物取引業＜北海道知事石狩(2)第8722号＞［事業所］北海道札幌市／東京都渋谷区／神奈川県川崎市,北海道札幌市中央区大通西15丁目1-12-10F,2019,44.6,103,2500万円,https://131.co.jp/,代表取締役社長 笹原 実,
2024-06-01,メディカルロード株式会社,アウトソーシング,1,■医療通訳・翻訳サービス,東京都中央区新川2-1-3 COSMY新川,2018,,,"1,000万円",https://www.medicalroad.co.jp/company/,代表取締役 長島 武,
2024-07-01,株式会社Ｌｉｂｅｒｔｙ,人材紹介・職業紹介,7,■事業内容：転職エージェント事業 新卒就活支援事業 求人広告業 採用コンサルティング,福岡県福岡市中央区大名2-4-30西鉄赤坂ビル9F,2019,28.0,16,5百万円,https://liberty-inc.co.jp,,
2024-06-01,株式会社ネオコンストラクション,技術系アウトソーシング（特定技術者派遣）,1,■建設エンジニアリング事業■設計、施工管理におけるアウトソーシング事業■労働者派遣事業：派13-313964■有料職業紹介事業：13-ユ-310611【主要取引先】大林組、大成建設、中電工 ほか,東京都新宿区西新宿1-22-2 新宿サンエービル2F,2019,36.0,144,1億円,https://neo-construction.co.jp/,代表取締役 籔内 祐馬,
2024-08-01,コクー株式会社,技術系アウトソーシング（特定技術者派遣）,4,■事業内容：クライアントを安定成長に導く「人財」のソリューション。そして、常に革新する「デジタル」トランスフォーメーション。この２つのビジネスリージョンを基盤として、クライアントニーズに合わせたサービスをご提供しています。,東京都千代田区神田神保町3-29帝国書院ビル5F,2019,31.6,715,505百万円,https://cocoo.co.jp,,
2024-08-01,ＸＭｉｌｅ株式会社,人材紹介・職業紹介,99+,■当社は物流業界の社会的課題を「HR」と「IT」の2つのアプローチで解決しています。平均年齢26歳、創業1期目と若く優秀なメンバーが集まり、社会起業家集団として、誰もやらない・誰もやれないレガシーな産業の再構築をめざしています。普段は意識する事が無いかもしれませんが、衣類や食品、住宅、医薬品、機械、ガス、鉄鋼、EC、といった日常生活において不可欠なモノが「物流」によって皆さんのもとに届けられています。その中で、私たちの元にモノを届けてくれる「物流」がいま多くの課題を抱えているのをご存知でしょうか？,東京都新宿区新宿6-27-30,2019,26.0,200,100百万円,https://www.xmile.co.jp/,,
2024-07-01,株式会社アットドゥ,人材紹介・職業紹介,1,◆特定技能外国人登録支援（営業、管理）◆有料職業紹介事業,本社／東京都港区浜松町1-25-11 宮下ビル2階,2019,27.0,,"5,000万円",https://at-do.co.jp/,代表 桑畑 直樹,
2024-08-01,株式会社ＧＥＮＴＥＮ,Webサービス・Webメディア（EC・ポータル・ソーシャル）,無,■営業職に特化したフリーランスの「リアルプラットフォーム」の運営/企画■事業・商材ラインナップ◎人材事業：求人広告、人材紹介、人事コンサルティング◎IT事業：SES事業◎広告事業：Web広告、メディア運用、SNS運用（Instagram、twitter、Youtube）◎通信機器（OA機器）事業◎その他：制作、再生エネルギー事業、助成金、M&A、不動産、ブランディングなど 2024年5月doda掲載求人より引用,東京都新宿区山吹町348-6ＤＳＤビル 5Ｆ,2019,,,6 百万円,"Failed to retrieve page, status code: 410",代表取締役 阿部 正和,
2024-07-01,株式会社Ｗｏｒｔｈ　Ｌｉｖｉｎｇ,アウトソーシング,1,■営業アウトソーシング事業■WEB制作事業■SNSマーケティング事業■不動産業■人材派遣業 許認可番号【派13-316699】,東京都新宿区四谷4-33-2 マーキュリースクエア2F,2019,27.0,,2000万円,https://www.worthliving-group.com/,代表取締役 齋木 秀忠,
2024-06-01,NEXSTAR株式会社,アウトソーシング,1,■テレマーケティング事業■訪問事業■各種営業代行,大阪府大阪市北区芝田2丁目8-11共栄ビル 3F,2019,,50,300万円,https://nexstar.co.jp/,代表取締役 杉原 康峰,
2024-08-01,イーテック株式会社,技術系アウトソーシング（特定技術者派遣）,3,■事業内容：自動車の輸送機器、計測、制御システム機器及び部品の開発、設計、試験評価並びにそれらに係る事務、データー整備,愛知県名古屋市千種区仲田2-14-16,2019,,42,10百万円,https://www.etech-k.co.jp/,,
2024-07-01,パスメイクホールディングス株式会社,研修サービス,1,■事業内容： アビタス、東京中央日本語学院の管理部門（人事総務、経理財務、ITシステム等）及び経営支援を担う会社です。”学びと学びの活用を生涯にわたり支援することで、キャリアオーナーシップを持った人生づくりに貢献する”をMissionに掲げ、グループ全社の支援を行っています。,東京都渋谷区代々木2-1-1,2019,38.0,21,100百万円,https://www.pathmake.co.jp/,,
2024-07-01,株式会社滋慶ヒューマンリソース,人材紹介・職業紹介,1,"■事業内容：全国に約80校の専門学校を展開し10社以上のサポート企業、30社以上のグループ企業がある滋慶学園グループの人事部門を担っているシェアード会社です。■許可番号：職業紹介事業許可番号／27-ユ-301470■滋慶学園グループとは：全国80校の専門学校を運営する滋慶学園グループは、医療、福祉、スポーツ、クリエイティブ、動物、音楽、美容、製菓調理、バイオなどあらゆる業界で即戦力として活躍できる人材育成を目指した専門学校を運営しています。設立1976年4月、2024年4月時点でグループ合計3,489名（正社員：2,769名・契約社員720名）の組織となります。",大阪府大阪市中央区北浜東1-7滋慶学園ビル北浜4F,2019,38.0,5,10百万円,https://www.jikeigroup.net/,,
2024-06-01,Ｅｘｃｅｌｓｉｏｒ株式会社,人材派遣,1,■セールスプロモーション■広告事業■代理店事業■人材アウトソーシング事業,北海道札幌市中央区北一条西3-3 ばらと北一条ビル9F,2019,,30,,https://www.excelsior-ltd.jp/,代表取締役 小倉 歩,
2024-08-01,やしま事務代行合同会社,アウトソーシング,11,◆事業内容：1.給与計算業務：各種保険・税務等、法改正や保険料改定に対応した計算業務をサポートします。2.社会保険事務手続き業務担当：社会保険・労働保険に関連した業務および労務相談業務をサポートします。3.経理業務：経理の決算業務および管理会計業務をサポートします。4.人材採用業務：採用戦略の立案および面接や各種試験の受託業務をサポートします。5.人材の教育研修プログラム業務担当：各企業の求める人材像に合わせた教育・研修プログラムを策定します。6.監査業務：計画策定、整備状況評価など、内部統制の支援基準に従った業務支援と評価をいたします。,東京都中央区日本橋兜町5-1兜町第1平和ビル7Fレコルテ内,2019,,24,52百万円,https://www.yashima.llc/,,
2024-06-01,株式会社ＳＰｅａｋ,求人サイト・求人メディア,4,■事業内容： ①日本での大学・大学院で学ぶ外国籍留学生や日本国籍バイリンガル学生のために作られた、日本でのキャリアや就活に関する情報を英語・日本語で提供するウェブメディアを展開。②新卒・中途市場にでてきづらい、全国有名大学のグローバル人材と直接つながる、双方向オンラインマッチングサービス。グローバル学生と新卒採用担当の声から出来たサービスです！,東京都港区六本木6-10-1 15FCircle by ANRI,2019,,9,133百万円,https://speak-corp.com/,,
2024-08-01,株式会社SPOTTED　STAFFING,人材派遣,2,■事業内容：人材派遣、RPO（採用業務アウトソーシング）、紹介予定派遣、業務委託・アウトソーシング、BPO（ビジネスプロセスアウトソーシング）など、人材や業務に関するあらゆるソリューションをお客さまのニーズにあわせてご提供しています。インフラエンジニアやソフトウェアエンジニア、プロジェクトマネージャー、財務、翻訳・通訳、人事や総務事務などのバックオフィス業務に従事する優秀な人材ネットワークを展開し、信頼の高いサービスと実績・経験を活かし、お客さまにとって最良の出会いを実現します。,東京都中央区入船3-8-7ザ・ロワイヤルビル 6F,2019,,15,20百万円,https://spottedstaffing.com/,,
2024-08-01,株式会社BIGACK,人材紹介・職業紹介,2,【事業詳細】■美容業界の転職支援サービス「Mjob美容師」(https://mil-to.com/bigack-recruit/)：美容師の方を中心とした美容業界特化型の転職支援サービスを行なっています。スタイリストやアシスタントを中心に、美容業界に関わる方々の人材支援を行なっています。■Mjob（エムジョブ）SNS（Instagram・Facebook・Twitter・TikTokなど）を中心とした求人広告の配信を行い、各業界クライアント様のブランディングと人材採用の効率化を実現します。,東京都新宿区西新宿1-3-13ZenkenPlazaII8F,2019,,46,10百万円,https://bigack.co.jp/,,
2024-05-01,日本スキルプロバイダ株式会社,人材紹介・職業紹介,1,■事業内容： （1）教育・研修事業（2）BPO事業（営業部運営代行・コールセンター請負・求人広告代理店業）（3）業務／運用コンサルティング事業（4）職業紹介事業（厚生労働大臣許可番号 13-ユ-312469）,東京都墨田区亀沢2-15-2小島繊維ビル3F,2019,27.0,8,10百万円,https://skillpro.jp,,
2024-08-01,株式会社ビーネックステクノロジーズ,技術系アウトソーシング（特定技術者派遣）,21,"幅広い領域で約6,400名もの多彩なエンジニアが活躍するビーネックステクノロジーズ。当社は、「エンジニアに支持される『会社』No.1を目指す」ことを掲げ、豊富な就業機会の提供や成長したいエンジニアを支えるための充実した研修制度など、「次」に挑むための機会を創り続けています。",東京都港区虎ノ門1-3-1東京虎ノ門グローバルスクエア16F,2019,,6767,200百万円,"Failed to retrieve page, status code: 410",,
2024-07-01,株式会社free mova,人材紹介・職業紹介,4,■人材紹介事業・人材派遣事業＜20代に特化したサービスを展開＞└有料職業紹介許可番号【(紹)13-ユ-313841】└人材派遣事業許可番号【(派)13-315859】■通信事業■求人広告代理店事業《取引先》合同会社DMM.com／株式会社リクルートホールディングス／株式会社マイナビ／パーソルホールディングス株式会社／株式会社夢テクノロジー／株式会社DYM／株式会社ネオキャリア,東京都渋谷区道玄坂二丁目25番12号 道玄坂通3階3-1a,2019,28.0,550,1250万円,https://www.freemova.com,代表取締役 廣瀬 暁己,
2024-08-01,ＰＥＲＳＯＬ　Ｇｌｏｂａｌ　Ｗｏｒｋｆｏｒｃｅ株式会社,人材紹介・職業紹介,6,■企業概要：パーソルグループの総合人材サービスのノウハウと海外ネットワークを活かした、外国人材に関する一気通貫のサービスを提供しております。国籍・文化の垣根を超え、はたらく人を支援し、企業の成長に貢献することで、外国人材が日本で活躍できる仕組みを創造してまいります。,東京都港区南青山1-15-5,,,,100百万円,"Failed to retrieve page, status code: 410",,
2024-08-01,株式会社テックビズ,人材紹介・職業紹介,10,■事業内容： 当社はITフリーランス向け独立支援サービスとして、案件紹介や税務代行サービス、ビジネス特化型クレジットカード、譲渡型賃貸住宅サービスなど独立するトータルサポートを行っております。また、ITフリーランスとIT人材を採用したい企業様を繋ぐ「テックビズフリーランス」というプラットフォームを運営しています。・ITフリーランス事業・ITベンチャー支援・開発支援,東京都渋谷区恵比寿1-19-19,2019,,150,950百万円,https://techbiz.wraptas.site/,,
2024-06-01,ＳＫＡＬＹ　ｓｔａｆｆｉｎｇ株式会社,人材派遣,2,■事業内容： ・エンタメ業界に特化した求人サービスを提供■当社について：・当社は、エンタメ業界に特化した求人サービスを提供しています。テレビ業界に特化した人材派遣・紹介会社です。・エンタメではたらきたい求職者や、エンタメではたらく人材を探す企業、その双方の想いを応援していきます。,東京都港区赤坂3-11-15VORT赤坂見附7F,2019,26.0,39,20百万円,https://skalystaffing.jp/about/,,
2024-07-01,株式会社旅行綜研東日本,人材派遣,1,■一般労働者派遣事業■海外国内旅行添乗員教育及び育成■空港旅客送迎事業■旅行業法に基づく旅行業■教育・研修事業■損害保険代理店業■有料職業紹介事業■航空会社等から委託される空港地上業務■通信機器のレンタル並びに販売■旅行に関するコンサルティング業務■旅行に関するセールスプロモーション事業■その他海外・国内旅行関連事業,東京都港区虎ノ門1-13-3 虎ノ門東洋共同ビル,1991,,68,1億円,https://ryokosoken.jp/,代表取締役 石井 光彦,
2024-07-01,株式会社旅行綜研西日本,人材派遣,1,■一般労働者派遣事業■海外国内旅行添乗員教育及び育成■空港旅客送迎事業■旅行業法に基づく旅行業■教育・研修事業■損害保険代理店業■有料職業紹介事業■航空会社等から委託される空港地上業務■通信機器のレンタル並びに販売■旅行に関するコンサルティング業務■旅行に関するセールスプロモーション事業■その他海外・国内旅行関連事業,大阪府大阪市中央区瓦町4-5-9 井門瓦町ビル4F,1991,30.0,68,1億円,https://ryokosoken.jp/,代表取締役 石井 光彦,
2024-08-01,Ｃａｒｅ　Ｅａｒｔｈ株式会社,人材紹介・職業紹介,3,■事業内容： ・人材派遣・アウトソーシング・外国人労働者派遣・20代若手特化型転職サポート,大阪府大阪市中央区内本町2-4-12中央内本町ビル3F,2019,27.0,47,20百万円,https://www.careearth.info/,,
2024-07-01,ＨＲテクノロジーズ株式会社,人材紹介・職業紹介,6,HRテクノロジーズは、ジョブハンティングサービスや、セールス職に特化した求人プラットフォーム等を展開している会社です。『転職が当たり前になった今の時代だからこそ、時代に合った人財業界の新しい仕組みを提供したい』そんな想いのもと、求職者ファーストではなく事業者ファーストになってしまっている現状を変え、圧倒的にユーザーファーストな転職支援の新しい仕組みを生み出していきます。,東京都港区虎ノ門4-3-1城山トラストタワー22F,2019,,,14百万円,https://hr-technology.co.jp/,,
2024-07-01,株式会社ＤＹＭ　ＮＥＸＴ,コールセンター,4,■事業内容： ⇒事業概要とその詳細について詳しく記載。また、ビジネスモデルに 関する記載も同項目にて記載。 ■ビジョン： ⇒設立背景や社長の思いは同項目にて記載。 ■特徴（TOPICS）： ⇒マーケット環境、製品・サービスに関する優位性を記載。または、 教育体制や福利厚生など企業マネジメントに関する特徴も記載。 ■組織風土： ⇒風土の説明は、企業を取り巻く競合他社、マーケット要因、社内制度 や対面した社員の方の印象など社風を裏付ける根拠も記載。,熊本県熊本市中央区新市街11-18,2019,,,5百万円,https://dymnext.jp/,,
2024-08-01,ソーシング・ブラザーズ株式会社,人材紹介・職業紹介,4,【事業内容】■スタートアップ・ベンチャー企業向けの採用支援■クライアント企業の投資業務ハンズオン支援■スタートアップM&Aアドバイザリー,東京都千代田区永田町1-11-30サウスヒル永田町3F,2019,27.5,50,"2,550百万円",https://sbro.co.jp/,,
