更新日,名称,業界(小分類),求人有無,事業内容,所在地,設立,上場市場名,平均年齢,従業員数,資本金,企業URL,代表者
2024-08-01,ソフトバンク株式会社,通信キャリア・ISP・データセンター,99+,■事業概要：移動通信サービスの提供、携帯端末の販売、固定通信サービスの提供、インターネット接続サービスの提供、その他新規サービス展開を行っています。,東京都港区海岸1-7-1東京ポートシティ竹芝オフィスタワー,1986,プライム市場,40.8,19045,"204,309百万円",https://www.softbank.jp/,
2024-08-01,ＴＩＳ株式会社,システムインテグレータ（SIer）,99+,■事業概要：同社は、株式会社インテック、株式会社アグレックス、クオリカ株式会社など国内外に44社の子会社を擁する、日本最大級の独立系プライムベンダーです。,東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー,2008,プライム市場,40.6,5834,"10,000百万円",http://www.tis.co.jp/,
2024-08-01,リコージャパン株式会社,システムインテグレータ（SIer）,95,～デジタルサービスの会社に生まれ変わるリコージャパン／ICTサービスによる業務プロセスの自動化・省力化によりお客様の“はたらく”を変革～■リコージャパンのビジネス：リコージャパンは、全国すべての都道府県に支社(349拠点)を設置し、中堅中小企業を中心としたお客様の課題に向き合い、お客様価値の高いデジタルサービスを創り、ご活用を支援することでお客様の生産性革新に貢献していきます。新しい生活様式や働き方に対応したデジタルサービスを提供し、オフィスだけでなく現場や在宅、企業間取引における業務ワークフローの自動化・省力化を実現し、働く人のストレスの低減や業種業務課題の解決に努めています。,東京都大田区中馬込1-3-6,1959,,44.0,18697,"2,500百万円",http://www.ricoh.co.jp/sales/about/,
2024-08-01,ＮＴＴビジネスソリューションズ株式会社,ITコンサルティング,11,■事業内容： ビジネスユーザーに対する情報通信システムの提案、構築、サポート等業務・NTT西日本グループにおけるＮＴＴビジネスソリューションズの役割コンサルティング営業×技術面を支えるSEを中心としてそれぞれが高い専門性を発揮し、NTT西日本グループの営業分野を担っています,大阪府大阪市北区大深町3-1,2013,,,14000,100百万円,https://www.nttbizsol.jp/,
2024-08-01,ＮＥＣソリューションイノベータ株式会社,システムインテグレータ（SIer）,99+,"■事業内容：コンサルテーション、システムインテグレーション、ソフトウェアパッケージ、教育（トレーニング）、各種業務システムの開発、システム運用支援、基本ソフトウェアと汎用アプリケーションパッケージの開発、ASP（アプリケーションサービス）■特徴：2014年4月にNECソフトなどNECグループの国内のソフトウェア7社が統合し、同社が誕生しました。従業員数1万2,000人を超すNECグループの中核企業です。官公庁や自治体から企業まで幅広い業種に向けて、SIサービスとソフトウェアを開発・提供しています。",東京都江東区新木場1-18-7NECソリューションイノベータ本社ビル,1975,,,12565,"8,668百万円",http://www.nec-solutioninnovators.co.jp/,
2024-08-01,株式会社日立システムズ,システムインテグレータ（SIer）,99+,■事業内容：・システム構築事業・システム運用・監視・保守事業・ネットワークサービス事業・情報関連機器・ソフトウェアの販売と開発,東京都品川区大崎1-2-1,1962,,43.3,9998,"19,162百万円",https://www.hitachi-systems.com/,
2024-08-01,エヌ・ティ・ティ・コミュニケーションズ株式会社,通信キャリア・ISP・データセンター,53,NTTコミュニケーションズは、NTTグループの長距離・国際通信事業を担う会社として1999年に設立されました。グローバルネットワークの構築やクラウド、消費者向けのアプリやサービスの開発を行っている会社です。具体的には法人顧客に対してクラウド基盤の拡充や、ICTソリューションの提供、個人顧客に対してアプリケーションやコンテンツを提供し、ライフスタイルの提案に取り組んでいます。,東京都千代田区大手町2-3-1大手町プレイスウエストタワー,1999,,43.5,9000,"230,900百万円",http://www.ntt.com/,
2024-07-01,株式会社ＳＨＩＦＴ,システムインテグレータ（SIer）,2,□事業内容：ソフトウェアの品質保証、テスト事業、開発事業（上流工程のコンサルティングからソフトウェアテスト業務まで幅広く実施）,東京都港区麻布台1-3-1,2005,プライム市場,35.1,11895,,https://www.shiftinc.jp,
2024-08-01,株式会社NTTドコモ,通信キャリア・ISP・データセンター,99+,■同社グループの主要事業内容：・通信事業…携帯電話サービス（５Gサービス、LTE(Xi)サービス、FOMAサービス）、光ブロードバンドサービス、衛星電話サービス、国際サービス、各サービスの端末機器販売 等・スマートライフ事業…動画配信／音楽配信／電子書籍サービス等のdマーケットを通じたサービス、金融／決済サービス、ショッピングサービス、生活関連サービス 等・その他の事業…ケータイ補償サービス、システムの開発／販売／保守受託 等,東京都千代田区永田町2-11-1山王パークタワー,1991,,,7903,"949,679百万円",https://information.nttdocomo-fresh.jp/career/#career,
2024-08-01,ＪＣＯＭ株式会社,通信キャリア・ISP・データセンター,67,■事業内容：（1）ケーブル・プラットフォーム事業…ケーブルテレビ、高速インターネット接続、固定電話、モバイル、電力、ガスの6サービスの提供（2）メディア・エンタテインメント事業…各種専門チャンネルへの出資、運営。各種VODサービスへのコンテンツ調達、販売。映画の企画製作、配給,東京都千代田区丸の内1-8-1丸の内トラストタワーN館,1995,,,15871,"45,600百万円",http://www.jcom.co.jp/corporate/,
